ProductID,ProductName,ProductCategory,Price,ProductDescription,ProductPunchLine,ImageURL
PROD0001,Pale Meadow,Paint Shades,29.99,"A soft, earthy green reminiscent of open meadows at dawn.",Nature’s touch inside your home,https://staidemodev.blob.core.windows.net/hero-demos-hardcoded-chat-images/PaleMeadow.png
PROD0002,Tranquil Lavender,Paint Shades,31.99,"A muted lavender that soothes and reassures, ideal for relaxation.",Find your peaceful moment,https://staidemodev.blob.core.windows.net/hero-demos-hardcoded-chat-images/TranquilLavender.png
PROD0003,Whispering Blue,Paint Shades,47.99,"Light, breezy blue that lifts spirits and refreshes the space.",Float away on blue skies,https://staidemodev.blob.core.windows.net/hero-demos-hardcoded-chat-images/WhisperingBlue.png
PROD0004,Whispering Blush,Paint Shades,50.82,"A subtle, enchanting pink for warmth and understated elegance.",Add a blush of beauty,https://staidemodev.blob.core.windows.net/hero-demos-hardcoded-chat-images/WhisperingBlush.png
PROD0005,Ocean Mist,Paint Shades,84.83,Premium quality ocean mist paint with excellent coverage and durability. Perfect for interior and exterior surfaces with long-lasting color retention.,Transform Your Space with Ocean Mist!,https://staidemodev.blob.core.windows.net/hero-demos-hardcoded-chat-images/Ocean Mist_Paint.png
PROD0006,Sunset Coral,Paint Shades,48.57,Premium quality sunset coral paint with excellent coverage and durability. Perfect for interior and exterior surfaces with long-lasting color retention.,Transform Your Space with Sunset Coral!,https://staidemodev.blob.core.windows.net/hero-demos-hardcoded-chat-images/Sunset Coral Paint.png
PROD0007,Forest Whisper,Paint Shades,43.09,Premium quality forest whisper paint with excellent coverage and durability. Perfect for interior and exterior surfaces with long-lasting color retention.,Transform Your Space with Forest Whisper!,https://staidemodev.blob.core.windows.net/hero-demos-hardcoded-chat-images/Forest Whisper Paint.png
PROD0008,Morning Dew,Paint Shades,81.94,Premium quality morning dew paint with excellent coverage and durability. Perfect for interior and exterior surfaces with long-lasting color retention.,Transform Your Space with Morning Dew!,https://staidemodev.blob.core.windows.net/hero-demos-hardcoded-chat-images/Morning Dew Paint.png
PROD0009,Dusty Rose,Paint Shades,75.62,Premium quality dusty rose paint with excellent coverage and durability. Perfect for interior and exterior surfaces with long-lasting color retention.,Transform Your Space with Dusty Rose!,https://staidemodev.blob.core.windows.net/hero-demos-hardcoded-chat-images/Dusty Rose Paint.png
PROD0010,Sage Harmony,Paint Shades,33.26,Premium quality sage harmony paint with excellent coverage and durability. Perfect for interior and exterior surfaces with long-lasting color retention.,Transform Your Space with Sage Harmony!,https://staidemodev.blob.core.windows.net/hero-demos-hardcoded-chat-images/Sage Harmony.png
PROD0011,Vanilla Dream,Paint Shades,54.66,Premium quality vanilla dream paint with excellent coverage and durability. Perfect for interior and exterior surfaces with long-lasting color retention.,Transform Your Space with Vanilla Dream!,https://staidemodev.blob.core.windows.net/hero-demos-hardcoded-chat-images/Vanilla Dream.png
PROD0012,Charcoal Storm,Paint Shades,43.45,Premium quality charcoal storm paint with excellent coverage and durability. Perfect for interior and exterior surfaces with long-lasting color retention.,Transform Your Space with Charcoal Storm!,https://staidemodev.blob.core.windows.net/hero-demos-hardcoded-chat-images/Charcoal Storm.png
PROD0013,Golden Wheat,Paint Shades,109.73,Premium quality golden wheat paint with excellent coverage and durability. Perfect for interior and exterior surfaces with long-lasting color retention.,Transform Your Space with Golden Wheat!,https://staidemodev.blob.core.windows.net/hero-demos-hardcoded-chat-images/Golden Wheat.png
PROD0014,Soft Pebble,Paint Shades,110.92,Premium quality soft pebble paint with excellent coverage and durability. Perfect for interior and exterior surfaces with long-lasting color retention.,Transform Your Space with Soft Pebble!,https://staidemodev.blob.core.windows.net/hero-demos-hardcoded-chat-images/Soft Pebble.png
PROD0015,Misty Gray,Paint Shades,96.04,Premium quality misty gray paint with excellent coverage and durability. Perfect for interior and exterior surfaces with long-lasting color retention.,Transform Your Space with Misty Gray!,https://staidemodev.blob.core.windows.net/hero-demos-hardcoded-chat-images/Misty Gray.png
PROD0016,Rustic Clay,Paint Shades,83.37,Premium quality rustic clay paint with excellent coverage and durability. Perfect for interior and exterior surfaces with long-lasting color retention.,Transform Your Space with Rustic Clay!,https://staidemodev.blob.core.windows.net/hero-demos-hardcoded-chat-images/Rustic Clay.png
PROD0017,Ivory Pearl,Paint Shades,91.99,Premium quality ivory pearl paint with excellent coverage and durability. Perfect for interior and exterior surfaces with long-lasting color retention.,Transform Your Space with Ivory Pearl!,https://staidemodev.blob.core.windows.net/hero-demos-hardcoded-chat-images/Ivory Pearl.png
PROD0018,Deep Forest,Paint Shades,119.93,Premium quality deep forest paint with excellent coverage and durability. Perfect for interior and exterior surfaces with long-lasting color retention.,Transform Your Space with Deep Forest!,https://staidemodev.blob.core.windows.net/hero-demos-hardcoded-chat-images/Deep Forest.png
PROD0019,Autumn Spice,Paint Shades,30.34,Premium quality autumn spice paint with excellent coverage and durability. Perfect for interior and exterior surfaces with long-lasting color retention.,Transform Your Space with Autumn Spice!,https://staidemodev.blob.core.windows.net/hero-demos-hardcoded-chat-images/Autumn Spice.png
PROD0020,Coastal Whisper,Paint Shades,39.99,"An airy, tranquil blue that evokes relaxing days by the ocean.",Let the calm of the coast breeze in,https://staidemodev.blob.core.windows.net/hero-demos-hardcoded-chat-images/CoastalWhisper.png
PROD0021,Effervescent Jade,Paint Shades,42.99,"A sparkling, uplifting jade green for spaces brimming with vitality.","Energize your room, refresh your mind",https://staidemodev.blob.core.windows.net/hero-demos-hardcoded-chat-images/EffervescentJade.png
PROD0022,Frosted Blue,Paint Shades,36.99,"A crisp, subtle blue perfect for creating peaceful retreats.",Chill out in classic blue,https://staidemodev.blob.core.windows.net/hero-demos-hardcoded-chat-images/FrestedBlue.png
PROD0023,Frosted Lemon,Paint Shades,28.99,"A zesty, pale yellow that uplifts and brightens every corner.",Awaken spaces with a citrus twist,https://staidemodev.blob.core.windows.net/hero-demos-hardcoded-chat-images/FrostedLemon.png
PROD0024,Honeydew Sunrise,Paint Shades,45.99,"A velvety, refreshing green for rejuvenated and cozy spaces.",Freshen up with a gentle green glow,https://staidemodev.blob.core.windows.net/hero-demos-hardcoded-chat-images/HoneydewSunrise.png
PROD0025,Lavender Whisper,Paint Shade,33.99,"Soft lavender hues for a restful, dreamy ambiance.",A delicate fragrance of color,https://staidemodev.blob.core.windows.net/hero-demos-hardcoded-chat-images/LavenderWhisper.png
PROD0026,Lilac Mist,Paint Shade,55.99,A gentle purple mist that brings elegance and calm.,Wrap your walls in a purple haze,https://staidemodev.blob.core.windows.net/hero-demos-hardcoded-chat-images/LilacMist.png
PROD0027,Soft Creamsicle,Paint Shade,41.99,"A creamy, orange-tinted shade for gentle warmth and cheer.",Sweeten your space with a smile,https://staidemodev.blob.core.windows.net/hero-demos-hardcoded-chat-images/SoftCreamsicle.png
PROD0028,Whispering Blush,Paint Shade,26.99,"A subtle, enchanting pink for warmth and understated elegance.",Add a blush of beauty,https://staidemodev.blob.core.windows.net/hero-demos-hardcoded-chat-images/WhisperingBlush.png
PROD0029,Lavender Whisper,Paint Shade,33.99,"Soft lavender hues for a restful, dreamy ambiance.",A delicate fragrance of color,https://staidemodev.blob.core.windows.net/hero-demos-hardcoded-chat-images/LavenderWhisper.png
PROD0030,Lilac Mist,Paint Shade,55.99,A gentle purple mist that brings elegance and calm.,Wrap your walls in a purple haze,https://staidemodev.blob.core.windows.net/hero-demos-hardcoded-chat-images/LilacMist.png
PROD0031,Soft Creamsicle,Paint Shade,41.99,"A creamy, orange-tinted shade for gentle warmth and cheer.",Sweeten your space with a smile,https://staidemodev.blob.core.windows.net/hero-demos-hardcoded-chat-images/SoftCreamsicle.png
PROD0032,Whispering Blush,Paint Shade,26.99,"A subtle, enchanting pink for warmth and understated elegance.",Add a blush of beauty,https://staidemodev.blob.core.windows.net/hero-demos-hardcoded-chat-images/WhisperingBlush.png
PROD0033,Cordless Airless Pro,Paint Sprayer,120.99,"Go cordless and conquer any project with this ultra-portable airless paint sprayer. Delivers smooth, even coverage on walls, decks, and fences—anywhere freedom is needed.","Spray without limits, anywhere you go!",https://staidemodev.blob.core.windows.net/hero-demos-hardcoded-chat-images/CordlessAirlessPaintSprayer.png
PROD0034,Cordless Compact Painter,Paint Sprayer,149.99,"Perfect for precision DIYers—this compact, cordless paint sprayer is ideal for touch-ups, furniture, and tight corners. Lightweight, portable, and powerful.",Precision in the palm of your hand,https://staidemodev.blob.core.windows.net/hero-demos-hardcoded-chat-images/CordlessPaintSprayerCompact.png
PROD0035,Electric Sprayer 350,Paint Sprayer,135.99,"A dependable electric paint sprayer offering 350W of steady power for smooth, consistent finishes. Ideal for home interiors, cabinetry, and more.",Power up your paint game!,https://staidemodev.blob.core.windows.net/hero-demos-hardcoded-chat-images/ElectricPaintSprayer350.png
PROD0036,HVLP SuperFinish,Paint Sprayer,125.99,"A high-volume, low-pressure paint sprayer for a professional, glass-smooth finish on cabinets, crafts, and trim. Super controllable with minimal overspray.","Smooth as silk, pro-grade results",https://staidemodev.blob.core.windows.net/hero-demos-hardcoded-chat-images/HVLPPaintSprayerSuperFinish.png
